1,3,5,8,9,14,17,19,20,21,22,lat,lon,Time
p,s,t,c,n,s,w,p,k,s,u,46.4504,62.4556,2:24:56 PM
e,s,t,c,b,s,w,p,n,n,g,37.6917,-91.1085,4:34:00 PM
e,s,t,c,b,s,w,p,n,n,m,-23.2831,-37.9087,5:24:29 PM
p,y,t,c,n,s,w,p,k,s,u,-54.221,108.3953,7:26:04 AM
e,s,f,w,b,s,w,e,n,a,g,79.4114,99.3229,2:47:51 PM
e,y,t,c,b,s,w,p,k,n,g,-3.374,22.1057,12:24:58 PM
e,s,t,c,b,s,w,p,k,n,m,-50.6264,-98.6049,9:59:38 AM
e,y,t,c,b,s,w,p,n,s,m,37.9705,-44.7483,10:32:36 AM
p,y,t,c,n,s,w,p,k,v,g,35.6421,-93.1136,12:44:55 PM
e,s,t,c,b,s,w,p,k,s,m,62.1451,16.4686,11:07:22 AM
e,y,t,c,b,s,w,p,n,n,g,-41.8025,-14.3187,5:02:58 PM
e,y,t,c,b,s,w,p,k,s,m,-66.4726,97.7952,6:43:14 AM
e,s,t,c,b,s,w,p,n,s,g,-20.9822,-118.7192,3:13:50 PM
p,y,t,c,n,s,w,p,n,v,u,72.7416,-85.3673,12:06:03 PM
e,f,f,w,b,f,w,e,k,a,g,8.5083,89.4635,2:10:29 PM
e,f,f,c,n,s,w,p,n,y,u,71.3115,74.462,10:30:00 AM
e,f,f,w,b,s,w,e,n,a,g,-1.5974,-112.1821,2:48:22 PM
p,s,t,c,n,s,w,p,k,s,g,89.4863,-97.5133,12:04:15 PM
p,y,t,c,n,s,w,p,n,s,u,80.0382,-130.3698,11:34:14 AM
p,s,t,c,n,s,w,p,n,s,u,46.9122,150.4138,3:00:06 PM
e,s,t,c,b,s,w,p,n,s,m,78.4507,-176.7326,3:10:43 PM
p,y,t,c,n,s,w,p,n,v,g,-24.8428,-20.697,11:46:33 AM
e,y,t,c,b,s,w,p,n,s,m,-15.3674,-118.2461,6:49:46 AM
e,y,t,c,b,s,w,p,n,n,m,-41.0884,-2.3165,5:24:51 PM
e,s,t,c,b,s,w,p,k,s,m,-78.188,120.5638,3:43:30 PM
p,s,t,c,n,s,w,p,n,v,g,39.7187,-105.3039,10:13:37 AM
e,y,t,c,b,s,w,p,n,n,m,-52.9561,-40.6262,3:23:19 PM
e,y,t,c,b,s,w,p,n,n,m,-85.9091,-69.847,6:20:24 AM
e,f,f,c,n,s,w,p,k,y,u,-18.2786,43.0038,6:49:45 AM
e,s,t,w,n,s,w,p,n,v,d,40.2116,-100.582,11:58:50 AM
e,s,t,c,b,s,w,p,n,n,m,-49.3251,81.9182,2:02:24 PM
p,y,t,c,n,s,w,p,n,s,u,-75.5201,-2.2813,4:21:33 PM
e,y,t,c,b,s,w,p,n,n,m,38.8194,61.2946,8:41:10 AM
e,y,t,c,b,y,w,p,n,y,p,-83.2913,32.5596,12:18:21 PM
e,y,t,c,b,s,w,p,n,s,m,-16.4512,-28.9348,4:25:19 PM
e,f,t,w,n,s,w,p,n,v,d,14.7868,-157.5141,7:26:18 AM
e,f,f,c,n,s,w,p,k,v,u,43.1886,-175.4021,6:15:07 AM
p,y,t,c,n,s,w,p,n,s,u,-82.2388,-153.8213,8:55:43 AM
e,f,t,w,n,s,w,p,n,v,d,-67.4918,90.632,2:41:22 PM
e,s,t,c,b,s,w,p,k,s,m,70.1237,-2.8973,2:05:22 PM
e,y,t,c,b,s,w,p,n,s,g,53.0584,63.0384,9:31:19 AM
e,y,t,c,b,y,w,p,k,y,p,-71.8928,86.194,10:37:14 AM
e,f,f,c,n,s,w,p,k,y,u,-63.292,161.6104,11:31:17 AM
p,y,t,c,n,s,w,p,n,v,g,-57.802,102.4029,6:04:20 AM
e,s,t,c,b,s,w,p,k,n,m,-61.5248,-116.9568,6:15:50 AM
e,y,t,c,b,s,w,p,n,n,g,-17.642,-19.0503,6:28:49 AM
e,y,t,c,b,s,w,p,k,s,m,26.6586,133.0029,10:16:15 AM
e,s,t,c,b,s,w,p,n,n,m,46.9372,-168.4063,8:14:31 AM
e,y,t,c,b,y,w,p,n,s,p,-7.6578,13.5762,1:36:19 PM
e,y,t,c,b,y,w,p,k,s,p,59.6929,-68.6219,4:26:35 PM
e,y,t,c,b,y,w,p,k,s,g,-50.2074,161.1208,3:48:57 PM
e,s,t,c,b,s,w,p,k,s,g,-64.8029,166.9034,1:46:44 PM
e,s,t,c,b,s,w,p,n,n,m,-64.6831,-61.2347,12:21:04 PM
p,y,t,c,n,s,w,p,n,v,u,15.0696,50.3492,6:20:00 AM
p,s,t,c,n,s,w,p,k,v,u,63.166,124.0594,8:12:10 AM
e,y,t,c,b,s,w,p,k,s,m,37.3132,38.5532,1:40:45 PM
e,f,f,w,b,s,w,e,n,a,g,-1.1806,-34.6481,1:55:26 PM
e,s,t,c,b,s,w,p,n,n,g,-43.0371,25.747,12:30:34 PM
e,s,t,c,b,s,w,p,k,n,g,-17.9169,59.2974,2:24:56 PM
e,y,t,c,b,y,w,p,k,y,p,28.3188,92.8505,8:12:40 AM
e,f,f,c,n,s,w,p,n,v,u,-83.5286,-93.8068,4:49:25 PM
e,y,t,c,b,s,w,p,n,s,m,-46.9101,93.7737,8:33:25 AM
e,s,t,c,b,s,w,p,n,s,m,-46.0593,91.2953,9:26:23 AM
e,y,t,c,b,s,w,p,n,n,m,-32.6232,-136.8041,5:20:18 PM
e,y,t,c,b,s,w,p,n,s,g,-67.6546,18.2038,11:28:45 AM
e,s,f,w,b,s,w,e,k,a,g,24.326,20.4944,3:31:16 PM
e,s,t,c,b,s,w,p,k,s,g,75.3891,-108.8908,1:03:51 PM
e,y,t,c,b,y,w,p,n,s,g,51.0144,-149.1346,8:56:44 AM
e,y,t,c,b,s,w,p,k,n,g,21.8273,-18.1705,3:12:14 PM
e,f,f,c,n,s,w,p,n,v,u,47.6807,-92.3004,8:14:43 AM
e,f,t,w,n,s,w,p,n,v,d,-81.0583,67.9914,4:20:09 PM
e,y,t,c,b,s,w,p,n,s,m,-62.1507,167.7607,12:20:02 PM
e,f,t,w,n,s,w,p,n,v,d,-72.1134,-148.5236,5:14:29 PM
e,y,t,c,b,y,w,p,k,s,p,64.669,-104.375,6:26:30 AM
e,s,t,c,b,s,w,p,k,s,g,-84.159,-96.5002,9:00:56 AM
e,s,t,w,n,s,w,p,n,v,d,70.6092,-156.5188,8:02:16 AM
e,s,t,w,n,s,w,p,u,v,d,-19.2393,91.5667,9:51:28 AM
e,y,t,c,b,y,w,p,n,y,p,9.0114,98.7194,10:16:56 AM
p,y,t,c,n,s,w,p,n,v,u,-30.0871,-161.8271,6:55:53 AM
e,y,t,c,b,y,w,p,n,y,g,-37.4248,-133.8867,12:31:11 PM
e,s,f,w,b,s,w,e,n,s,g,-76.0246,57.21,8:13:43 AM
p,y,t,c,n,s,w,p,k,s,g,83.9033,149.7296,11:23:19 AM
e,f,f,c,n,s,w,p,n,y,u,-35.6425,171.1485,4:33:28 PM
e,f,f,w,b,s,w,e,n,s,g,80.2282,40.2507,3:32:37 PM
e,y,t,c,b,y,w,p,k,s,g,-89.1575,165.8645,11:28:05 AM
e,s,f,w,b,s,w,e,k,s,g,-47.4434,-150.4343,5:06:50 PM
e,s,t,c,b,s,w,p,k,s,g,87.2861,127.7018,3:26:13 PM
e,s,t,c,b,s,w,p,n,s,g,-73.8328,-37.9199,4:29:46 PM
e,y,t,c,b,y,w,p,k,y,g,48.5095,-171.5486,2:15:20 PM
e,f,f,c,n,s,w,p,n,v,u,20.3279,-122.7323,3:20:31 PM
e,f,f,c,n,s,w,p,n,y,u,-14.2869,-48.9135,11:22:48 AM
e,s,t,c,b,s,w,p,k,s,g,-63.4083,-169.7789,3:20:27 PM
e,y,t,c,b,s,w,p,k,s,g,22.9175,-1.3778,9:42:07 AM
e,y,t,c,b,s,w,p,k,n,m,66.0917,12.7161,11:24:48 AM
e,s,f,w,b,s,w,e,n,a,g,34.6391,-143.8702,1:17:50 PM
e,s,t,c,b,s,w,p,n,s,g,-28.3216,136.453,12:59:00 PM
e,y,t,c,b,y,w,p,n,s,g,-20.6049,74.1039,9:34:19 AM
e,s,t,c,b,s,w,p,k,n,g,-66.0605,-156.9975,11:06:09 AM
e,s,t,c,b,s,w,p,n,s,g,-5.4018,-100.6001,11:22:39 AM
e,y,t,c,b,s,w,p,k,s,g,62.8419,154.1966,4:09:36 PM
e,f,f,w,b,s,w,e,k,s,g,-68.4221,12.3448,7:10:50 AM
e,s,t,c,b,s,w,p,k,n,g,29.3958,145.4647,11:58:38 AM
e,y,t,c,b,y,w,p,n,s,g,-71.3808,-45.4918,4:04:42 PM
e,y,t,c,b,y,w,p,k,y,p,-3.4407,-88.0258,6:19:50 AM
e,y,t,c,b,s,w,p,n,n,g,16.2826,104.2242,3:43:35 PM
e,y,t,c,b,s,w,p,k,n,m,65.0229,-15.4239,11:56:55 AM
e,y,t,c,b,y,w,p,n,y,g,-70.3575,-10.5627,12:19:41 PM
e,y,t,c,b,s,w,p,k,s,m,65.4056,16.7044,6:41:45 AM
e,y,t,c,b,s,w,p,n,s,m,-43.3526,52.5038,3:48:44 PM
e,s,t,c,b,s,w,p,k,n,m,-66.2206,-14.7866,3:03:25 PM
e,s,t,c,b,s,w,p,k,n,g,-10.9777,-122.2062,6:17:47 AM
e,f,f,c,n,s,w,p,k,y,u,-47.9881,62.8492,4:32:19 PM
e,f,t,w,n,s,w,p,u,v,d,35.1852,-90.0225,8:05:41 AM
e,s,t,c,b,s,w,p,k,n,m,77.3529,41.6402,7:43:23 AM
p,y,t,c,n,s,w,p,n,v,u,-70.1735,46.3621,5:02:37 PM
e,y,t,c,b,y,w,p,n,s,g,-80.3589,-178.7795,10:35:00 AM
e,f,f,c,n,s,w,p,n,y,u,-56.5004,-148.1351,8:47:38 AM
e,y,t,c,b,y,w,p,k,y,g,10.709,-168.0868,7:57:45 AM
e,s,t,w,n,s,w,p,u,v,d,2.0957,-82.1611,6:30:51 AM
e,f,f,c,n,s,w,p,n,y,u,-32.6435,-96.7681,1:35:29 PM
p,s,t,c,n,s,w,p,k,v,g,-51.33,-38.1056,12:27:03 PM
e,y,t,c,b,s,w,p,n,n,m,41.6182,7.3926,2:43:32 PM
p,y,t,c,n,s,w,p,k,v,g,-58.4777,72.1225,11:26:34 AM
e,s,f,w,b,s,w,e,n,a,g,-63.6801,-166.6212,11:32:26 AM
e,s,t,c,b,s,w,p,n,s,m,-45.4653,160.8701,1:30:02 PM
e,s,f,w,b,f,w,e,k,s,g,-68.8443,-101.9433,11:22:59 AM
e,s,t,c,b,s,w,p,n,n,g,-38.0673,43.832,7:27:20 AM
e,f,f,w,b,s,w,e,n,a,g,4.682,-25.6988,6:55:46 AM
e,s,t,c,b,s,w,p,k,n,g,44.6625,-30.7165,8:55:09 AM
e,s,t,c,b,s,w,p,n,s,m,83.4673,179.1769,3:46:17 PM
e,s,t,c,b,s,w,p,n,s,g,-6.6227,126.3466,12:59:41 PM
e,y,t,c,b,s,w,p,n,s,m,75.6946,58.2157,12:57:08 PM
e,s,t,w,n,s,w,p,u,v,d,-62.6297,81.6541,10:26:01 AM
e,y,t,c,b,s,w,p,k,s,m,78.7514,111.8087,11:39:38 AM
e,s,t,w,n,s,w,p,n,v,d,-45.0077,26.7798,2:43:15 PM
p,y,t,c,n,s,w,p,n,v,u,85.5558,153.1377,1:23:23 PM
e,f,t,w,n,s,w,p,n,v,d,19.2295,101.4817,10:35:18 AM
e,y,t,c,b,s,w,p,n,s,g,-66.7322,103.9385,5:11:05 PM
p,s,t,c,n,s,w,p,n,v,g,20.2046,-10.1087,1:52:31 PM
